lng,lat
17.9406043,59.3789828
17.9406043,59.3789828
17.9467008,59.3990329
17.9477794,59.3981844
17.9477794,59.3981844
17.9549779,59.3770179
17.9478626,59.3982312
17.9444507,59.4004358
17.9477233,59.3982597
17.9477289,59.3981831
17.9477791,59.3982848
17.96976,59.3755839
17.9545544,59.3791907
17.9534814,59.3783413
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9548339,59.3770447
17.9481092,59.3983152
17.9481092,59.3983152
17.9477754,59.3982757
17.948446,59.3980291
17.948446,59.3980291
17.9484305,59.3980362
17.9581624,59.3775629
17.9656091,59.3761842
17.9461948,59.3993231
17.9477201,59.3983344
17.9618011,59.3774013
17.9486498,59.3982326
17.9486498,59.3982326
17.947793,59.3982413
17.9477563,59.3983226
17.9477563,59.3983226
17.9490746,59.4015448
17.9551151,59.3776531
17.9482471,59.3981773
17.9482562,59.39827
17.9482562,59.39827
17.9624258,59.3771052
17.9478065,59.3981993
17.9478074,59.3982239
18.0633299,59.3324676
18.0732811,59.3122718
18.0679332,59.323309
17.9556635,59.3772241
17.8648476,59.4140062
17.9447292,59.400176
17.9483027,59.3981015
17.9482656,59.3980075
17.951388,59.4003508
17.9523123,59.4008034
17.9523123,59.4008034
17.9523123,59.4008034
17.9523123,59.4008034
17.9628476,59.3769946
17.9431656,59.4035144
17.9480628,59.3980197
17.9481621,59.4022917
17.9544599,59.3770981
17.946777,59.4029459
17.9482432,59.3980477
17.9482459,59.3980549
17.9482459,59.3980549
17.9481676,59.3980332
17.9434737,59.3999629
17.9999603,59.3590499
18.0591985,59.3406998
