name,value,year,lastValue,rank
Kärnkraft,5990,200504,6257,1
Ospecificerad produktion,4308,200504,5103,2
Vattenkraft,1612,200504,2046,3
Övrig värmekraft,71,200504,167,4
Vindkraft,8,200504,8,5
Gasturbin & dieselkraft,0,200504,0,6
Kärnkraft,5162,200505,5990,1
Ospecificerad produktion,4431,200505,4308,2
Vattenkraft,1729,200505,1612,3
Övrig värmekraft,46,200505,71,4
Vindkraft,6,200505,8,5
Gasturbin & dieselkraft,0,200505,0,6
Kärnkraft,4767,200506,5162,1
Ospecificerad produktion,4061,200506,4431,2
Vattenkraft,1546,200506,1729,3
Övrig värmekraft,22,200506,46,4
Vindkraft,7,200506,6,5
Gasturbin & dieselkraft,0,200506,0,6
Kärnkraft,5516,200507,4767,1
Ospecificerad produktion,3464,200507,4061,2
Vattenkraft,1379,200507,1546,3
Övrig värmekraft,6,200507,22,4
Vindkraft,5,200507,7,5
Gasturbin & dieselkraft,0,200507,0,6
Kärnkraft,4685,200508,5516,1
Ospecificerad produktion,4536,200508,3464,2
Vattenkraft,1673,200508,1379,3
Vindkraft,7,200508,5,4
Övrig värmekraft,7,200508,6,5
Kärnkraft,5623,200509,4685,1
Ospecificerad produktion,4295,200509,4536,2
Vattenkraft,1909,200509,1673,3
Övrig värmekraft,13,200509,7,4
Vindkraft,8,200509,7,5
Gasturbin & dieselkraft,0,200509,0,6
Gasturbin & dieselkraft,0,200509,0,7
Kärnkraft,5969,200510,5623,1
Ospecificerad produktion,4470,200510,4295,2
Vattenkraft,1972,200510,1909,3
Övrig värmekraft,53,200510,13,4
Vindkraft,9,200510,8,5
Gasturbin & dieselkraft,0,200510,0,6
Kärnkraft,6251,200511,5969,1
Ospecificerad produktion,5053,200511,4470,2
Vattenkraft,1901,200511,1972,3
Övrig värmekraft,140,200511,53,4
Vindkraft,11,200511,9,5
Gasturbin & dieselkraft,0,200511,0,6
Kärnkraft,6387,200512,6251,1
Ospecificerad produktion,5885,200512,5053,2
Vattenkraft,2072,200512,1901,3
Övrig värmekraft,219,200512,140,4
Vindkraft,19,200512,11,5
Gasturbin & dieselkraft,0,200512,0,6
Kärnkraft,6600,200601,6387,1
Ospecificerad produktion,6059,200601,5885,2
Vattenkraft,2123,200601,2072,3
Övrig värmekraft,235,200601,219,4
Vindkraft,17,200601,19,5
Gasturbin & dieselkraft,1,200601,0,6
Kärnkraft,6000,200602,6600,1
Ospecificerad produktion,4333,200602,6059,2
Vattenkraft,2511,200602,2123,3
Övrig värmekraft,440,200602,235,4
Vindkraft,28,200602,17,5
Gasturbin & dieselkraft,0,200602,1,6
Kärnkraft,6623,200603,6000,1
Ospecificerad produktion,4143,200603,4333,2
Vattenkraft,2680,200603,2511,3
Övrig värmekraft,540,200603,440,4
Vindkraft,31,200603,28,5
Gasturbin & dieselkraft,19,200603,0,6
Kärnkraft,6388,200604,6623,1
Ospecificerad produktion,2784,200604,4143,2
Vattenkraft,2349,200604,2680,3
Övrig värmekraft,330,200604,540,4
Vindkraft,33,200604,31,5
Gasturbin & dieselkraft,1,200604,19,6
Kärnkraft,6049,200605,6388,1
Vattenkraft,2814,200605,2349,2
Ospecificerad produktion,2782,200605,2784,3
Övrig värmekraft,145,200605,330,4
Vindkraft,32,200605,33,5
Gasturbin & dieselkraft,0,200605,1,6
Kärnkraft,4579,200606,6049,1
Vattenkraft,2068,200606,2814,2
Ospecificerad produktion,1995,200606,2782,3
Övrig värmekraft,42,200606,145,4
Vindkraft,24,200606,32,5
Gasturbin & dieselkraft,1,200606,0,6
Kärnkraft,5179,200607,4579,1
Vattenkraft,1593,200607,2068,2
Ospecificerad produktion,1560,200607,1995,3
Övrig värmekraft,38,200607,42,4
Vindkraft,18,200607,24,5
Gasturbin & dieselkraft,0,200607,1,6
Kärnkraft,3515,200608,5179,1
Vattenkraft,2047,200608,1593,2
Ospecificerad produktion,1836,200608,1560,3
Övrig värmekraft,72,200608,38,4
Vindkraft,19,200608,18,5
Gasturbin & dieselkraft,1,200608,0,6
Kärnkraft,3432,200609,3515,1
Ospecificerad produktion,2244,200609,1836,2
Vattenkraft,2113,200609,2047,3
Övrig värmekraft,79,200609,72,4
Vindkraft,35,200609,19,5
Gasturbin & dieselkraft,1,200609,1,6
Kärnkraft,5433,200610,3432,1
Ospecificerad produktion,2625,200610,2244,2
Vattenkraft,2543,200610,2113,3
Övrig värmekraft,249,200610,79,4
Vindkraft,48,200610,35,5
Gasturbin & dieselkraft,7,200610,1,6
Kärnkraft,5562,200611,5433,1
Vattenkraft,3664,200611,2543,2
Ospecificerad produktion,2418,200611,2625,3
Övrig värmekraft,668,200611,249,4
Vindkraft,118,200611,48,5
Gasturbin & dieselkraft,29,200611,7,6
Kärnkraft,5748,200612,5562,1
Vattenkraft,4879,200612,3664,2
Ospecificerad produktion,2188,200612,2418,3
Övrig värmekraft,639,200612,668,4
Vindkraft,161,200612,118,5
Gasturbin & dieselkraft,22,200612,29,6
Kärnkraft,6324,200701,5748,1
Vattenkraft,5115,200701,4879,2
Ospecificerad produktion,2526,200701,2188,3
Övrig värmekraft,725,200701,639,4
Vindkraft,170,200701,161,5
Gasturbin & dieselkraft,10,200701,22,6
Vattenkraft,4986,200702,5115,1
Kärnkraft,4502,200702,6324,2
Ospecificerad produktion,2441,200702,2526,3
Övrig värmekraft,764,200702,725,4
Vindkraft,100,200702,170,5
Gasturbin & dieselkraft,31,200702,10,6
Vattenkraft,6458,200703,4986,1
Kärnkraft,6183,200703,4502,2
Övrig värmekraft,621,200703,764,3
Ospecificerad produktion,534,200703,2441,4
Vindkraft,115,200703,100,5
Gasturbin & dieselkraft,8,200703,31,6
Kärnkraft,6253,200704,6183,1
Vattenkraft,5602,200704,6458,2
Ospecificerad produktion,495,200704,534,3
Övrig värmekraft,470,200704,621,4
Vindkraft,106,200704,115,5
Gasturbin & dieselkraft,3,200704,8,6
Kärnkraft,5764,200705,6253,1
Vattenkraft,5554,200705,5602,2
Ospecificerad produktion,396,200705,495,3
Övrig värmekraft,351,200705,470,4
Vindkraft,81,200705,106,5
Gasturbin & dieselkraft,2,200705,3,6
Vattenkraft,4976,200706,5554,1
Kärnkraft,4181,200706,5764,2
Ospecificerad produktion,312,200706,396,3
Övrig värmekraft,173,200706,351,4
Vindkraft,60,200706,81,5
Gasturbin & dieselkraft,7,200706,2,6
Kärnkraft,4712,200707,4181,1
Vattenkraft,4162,200707,4976,2
Ospecificerad produktion,253,200707,312,3
Övrig värmekraft,112,200707,173,4
Vindkraft,93,200707,60,5
Gasturbin & dieselkraft,1,200707,7,6
Vattenkraft,4568,200708,4162,1
Kärnkraft,4214,200708,4712,2
Ospecificerad produktion,200,200708,253,3
Övrig värmekraft,134,200708,112,4
Vindkraft,85,200708,93,5
Gasturbin & dieselkraft,3,200708,1,6
Kärnkraft,4272,200709,4214,1
Vattenkraft,3866,200709,4568,2
Övrig värmekraft,238,200709,134,3
Ospecificerad produktion,180,200709,200,4
Vindkraft,125,200709,85,5
Gasturbin & dieselkraft,2,200709,3,6
Kärnkraft,5719,200710,4272,1
Vattenkraft,4255,200710,3866,2
Övrig värmekraft,548,200710,238,3
Ospecificerad produktion,183,200710,180,4
Vindkraft,89,200710,125,5
Gasturbin & dieselkraft,5,200710,2,6
Kärnkraft,5888,200711,5719,1
Vattenkraft,4903,200711,4255,2
Övrig värmekraft,859,200711,548,3
Ospecificerad produktion,167,200711,183,4
Vindkraft,145,200711,89,5
Gasturbin & dieselkraft,97,200711,5,6
Kärnkraft,6385,200712,5888,1
Vattenkraft,5339,200712,4903,2
Övrig värmekraft,973,200712,859,3
Ospecificerad produktion,200,200712,167,4
Vindkraft,164,200712,145,5
Gasturbin & dieselkraft,80,200712,97,6
Vattenkraft,7095,200801,5339,1
Kärnkraft,6601,200801,6385,2
Övrig värmekraft,968,200801,973,3
Vindkraft,260,200801,164,4
Ospecificerad produktion,192,200801,200,5
Gasturbin & dieselkraft,6,200801,80,6
Vattenkraft,6783,200802,7095,1
Kärnkraft,5849,200802,6601,2
Övrig värmekraft,865,200802,968,3
Vindkraft,217,200802,260,4
Ospecificerad produktion,181,200802,192,5
Gasturbin & dieselkraft,3,200802,6,6
Vattenkraft,6737,200803,6783,1
Kärnkraft,6556,200803,5849,2
Övrig värmekraft,869,200803,865,3
Vindkraft,188,200803,217,4
Ospecificerad produktion,159,200803,181,5
Gasturbin & dieselkraft,3,200803,3,6
Kärnkraft,6451,200804,6556,1
Vattenkraft,5945,200804,6737,2
Övrig värmekraft,598,200804,869,3
Vindkraft,88,200804,188,4
Ospecificerad produktion,19,200804,159,5
Gasturbin & dieselkraft,2,200804,3,6
Vattenkraft,6530,200805,5945,1
Kärnkraft,5074,200805,6451,2
Övrig värmekraft,379,200805,598,3
Vindkraft,61,200805,88,4
Ospecificerad produktion,19,200805,19,5
Gasturbin & dieselkraft,2,200805,2,6
Vattenkraft,5399,200806,6530,1
Kärnkraft,3660,200806,5074,2
Övrig värmekraft,210,200806,379,3
Vindkraft,123,200806,61,4
Ospecificerad produktion,21,200806,19,5
Gasturbin & dieselkraft,2,200806,2,6
Kärnkraft,4752,200807,3660,1
Vattenkraft,4167,200807,5399,2
Övrig värmekraft,128,200807,210,3
Vindkraft,82,200807,123,4
Ospecificerad produktion,21,200807,21,5
Gasturbin & dieselkraft,2,200807,2,6
Kärnkraft,4422,200808,4752,1
Vattenkraft,4188,200808,4167,2
Vindkraft,139,200808,82,3
Övrig värmekraft,138,200808,128,4
Ospecificerad produktion,21,200808,21,5
Gasturbin & dieselkraft,2,200808,2,6
Kärnkraft,4983,200809,4422,1
Vattenkraft,4573,200809,4188,2
Övrig värmekraft,416,200809,138,3
Vindkraft,120,200809,139,4
Ospecificerad produktion,18,200809,21,5
Gasturbin & dieselkraft,2,200809,2,6
Vattenkraft,5340,200810,4573,1
Kärnkraft,4719,200810,4983,2
Övrig värmekraft,638,200810,416,3
Vindkraft,255,200810,120,4
Ospecificerad produktion,21,200810,18,5
Gasturbin & dieselkraft,6,200810,2,6
Vattenkraft,5813,200811,5340,1
Kärnkraft,4085,200811,4719,2
Övrig värmekraft,942,200811,638,3
Vindkraft,248,200811,255,4
Ospecificerad produktion,10,200811,21,5
Gasturbin & dieselkraft,5,200811,6,6
Vattenkraft,6428,200812,5813,1
Kärnkraft,4216,200812,4085,2
Övrig värmekraft,1048,200812,942,3
Vindkraft,153,200812,248,4
Gasturbin & dieselkraft,9,200812,5,5
Ospecificerad produktion,7,200812,10,6
Vattenkraft,6422,200901,6428,1
Kärnkraft,6298,200901,4216,2
Övrig värmekraft,1180,200901,1048,3
Vindkraft,215,200901,153,4
Gasturbin & dieselkraft,21,200901,9,5
Ospecificerad produktion,9,200901,7,6
Vattenkraft,6120,200902,6422,1
Kärnkraft,5767,200902,6298,2
Övrig värmekraft,1104,200902,1180,3
Vindkraft,129,200902,215,4
Gasturbin & dieselkraft,21,200902,21,5
Ospecificerad produktion,9,200902,9,6
Vattenkraft,5899,200903,6120,1
Kärnkraft,5186,200903,5767,2
Övrig värmekraft,1105,200903,1104,3
Vindkraft,198,200903,129,4
Ospecificerad produktion,9,200903,9,5
Gasturbin & dieselkraft,5,200903,21,6
Vattenkraft,4657,200904,5899,1
Kärnkraft,4575,200904,5186,2
Övrig värmekraft,627,200904,1105,3
Vindkraft,138,200904,198,4
Gasturbin & dieselkraft,11,200904,5,5
Ospecificerad produktion,8,200904,9,6
Vattenkraft,4999,200905,4657,1
Kärnkraft,4385,200905,4575,2
Övrig värmekraft,463,200905,627,3
Vindkraft,195,200905,138,4
Gasturbin & dieselkraft,80,200905,11,5
Ospecificerad produktion,1,200905,8,6
Vattenkraft,4225,200906,4999,1
Kärnkraft,4167,200906,4385,2
Övrig värmekraft,238,200906,463,3
Vindkraft,170,200906,195,4
Gasturbin & dieselkraft,88,200906,80,5
Ospecificerad produktion,1,200906,1,6
Vattenkraft,4249,200907,4225,1
Kärnkraft,3777,200907,4167,2
Vindkraft,169,200907,170,3
Övrig värmekraft,140,200907,238,4
Gasturbin & dieselkraft,73,200907,88,5
Ospecificerad produktion,1,200907,1,6
Vattenkraft,5463,200908,4249,1
Kärnkraft,2824,200908,3777,2
Vindkraft,195,200908,169,3
Övrig värmekraft,137,200908,140,4
Gasturbin & dieselkraft,92,200908,73,5
Ospecificerad produktion,1,200908,1,6
Vattenkraft,5633,200909,5463,1
Kärnkraft,2550,200909,2824,2
Vindkraft,299,200909,195,3
Övrig värmekraft,297,200909,137,4
Gasturbin & dieselkraft,135,200909,92,5
Ospecificerad produktion,1,200909,1,6
Vattenkraft,6009,200910,5633,1
Kärnkraft,3449,200910,2550,2
Övrig värmekraft,756,200910,297,3
Vindkraft,255,200910,299,4
Gasturbin & dieselkraft,150,200910,135,5
Ospecificerad produktion,1,200910,1,6
Vattenkraft,5782,200911,6009,1
Kärnkraft,3342,200911,3449,2
Övrig värmekraft,953,200911,756,3
Vindkraft,341,200911,255,4
Gasturbin & dieselkraft,4,200911,150,5
