lng,lat
2.3357271,48.8609342
2.3151001,48.8919718
2.3150984,48.8919718
2.3046717,48.8715292
2.3460094,48.8593448
2.3460094,48.8593448
2.3460094,48.8593448
2.3460094,48.8593448
2.315095,48.8919644
2.3151014,48.89195
2.3148583,48.8919806
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3146853,48.8920456
2.3365138,48.8616227
2.315092,48.8919651
2.315092,48.8919651
2.315092,48.8919651
2.315092,48.8919651
2.315092,48.8919651
2.315073,48.8920024
2.3150762,48.8920024
2.3150762,48.8920024
2.3150762,48.8920024
2.3150743,48.892003
2.3150743,48.892003
2.3150743,48.892003
2.3151003,48.8920129
2.3151003,48.8920129
2.3168366,48.8926309
2.3168366,48.8926309
2.316889,48.8926162
2.3151702,48.8922214
2.3152592,48.8920871
2.3173089,48.8922262
2.3006531,48.8716645
2.3461143,48.8619468
2.3460815,48.8620222
2.3151039,48.8919712
2.3150956,48.8919678
2.3150789,48.8919591
2.3150789,48.8919591
2.3150789,48.8919591
2.3150789,48.8919591
2.3150789,48.8919591
2.3151041,48.8919607
2.3150969,48.8919667
2.3150945,48.8919651
2.3150877,48.8919614
2.3150591,48.8919491
2.3150995,48.8919713
2.3150995,48.8919713
2.3150995,48.8919713
2.3151,48.8919714
2.3150961,48.891968
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150968,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.3150955,48.8919692
2.315097,48.8919689
2.315097,48.8919689
2.315097,48.8919689
2.315097,48.8919689
2.315097,48.8919687
2.315097,48.8919687
2.315097,48.8919687
2.315097,48.8919687
2.3151009,48.8919724
2.3151009,48.8919724
2.3151009,48.8919724
2.3151009,48.8919724
2.3151009,48.8919724
2.3151009,48.8919724
2.3151009,48.8919724
2.3150836,48.8919711
2.3150836,48.8919711
2.3150836,48.8919711
2.3150836,48.8919711
2.3150836,48.8919711
2.3150836,48.8919711
2.3150836,48.8919711
2.3150836,48.8919711
2.3150847,48.8919692
2.3150977,48.8919657
2.3150965,48.8919665
2.3150843,48.8919708
2.3150843,48.8919708
2.3150843,48.8919708
2.3150843,48.8919708
2.3150843,48.8919708
2.3150843,48.8919708
2.3150843,48.8919708
2.315095,48.8919683
2.3150833,48.891971
2.3150833,48.891971
2.3150833,48.891971
2.3150833,48.891971
2.3150937,48.8919688
2.3151027,48.891972
2.3151027,48.891972
2.3151027,48.891972
2.3151027,48.891972
2.3151027,48.891972
2.3151025,48.8919786
2.315084,48.8919724
2.3150955,48.891969
2.3151,48.8919714
2.3150994,48.8919707
2.3150994,48.8919707
2.3150994,48.8919707
2.3150994,48.8919707
2.3150994,48.8919707
2.3150804,48.8920048
2.3150719,48.8920019
2.3150719,48.8920019
2.315078,48.8920033
2.315078,48.8920033
2.315078,48.8920033
2.315078,48.8920033
2.315078,48.8920033
2.315078,48.8920033
2.315078,48.8920033
2.315078,48.8920033
2.315078,48.8920033
2.3151003,48.8920129
2.3151003,48.8920129
2.3151003,48.8920129
2.3151003,48.8920129
2.3151003,48.8920129
2.3150837,48.8919711
2.3150952,48.8919674
2.3151028,48.8919488
2.3150954,48.8919677
2.3150957,48.8919682
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3150967,48.8919674
2.3151024,48.8919723
2.3151024,48.8919723
2.3151024,48.8919723
2.3151024,48.8919723
2.3151024,48.8919723
2.3045472,48.8716901
2.304493,48.8715747
2.3375032,48.8603382
2.3150869,48.8919736
2.3150869,48.8919736
2.3074257,48.8703537
2.307622,48.8701942
2.3461097,48.8619252
2.3460524,48.8619385
2.3151014,48.8919718
2.3151014,48.8919718
2.3356368,48.8609412
2.3183908,48.8913075
2.3077859,48.8697874
2.2946427,48.8581056
2.2946427,48.8581056
2.336524,48.8616163
2.3374337,48.8603184
2.3342893,48.8617693
2.3074077,48.8703285
2.3074389,48.8703032
2.3074364,48.8703527
2.3074189,48.8703537
2.3151488,48.8924181
2.3168182,48.8925466
2.3151773,48.8923248
2.3200305,48.8906924
2.3150728,48.8923488
2.3355913,48.8606489
2.3356229,48.8606026
2.3168715,48.8926714
2.3168715,48.8926714
2.3168715,48.8926714
2.3039338,48.8713985
2.3039338,48.8713985
2.3039338,48.8713985
2.3074378,48.8703325
2.3151642,48.8923614
2.3168602,48.8926789
2.3168602,48.8926789
2.3074339,48.8703493
2.3192072,48.8914417
2.3192085,48.891438
2.3210416,48.8899818
2.3210865,48.8899557
2.3210933,48.8899643
2.3208724,48.8903775
2.3206136,48.8903675
2.3095234,48.8611123
2.3092711,48.8611036
2.3089658,48.861079
2.3059879,48.8612606
2.2928937,48.8588892
2.2928905,48.858834
2.300276,48.8723827
2.3091758,48.8688586
2.3460197,48.8590423
2.336726,48.8457005
2.336597,48.8457655
2.3364835,48.8456295
2.3322731,48.8452938
2.332343,48.8707647
2.3323428,48.8706837
2.3323301,48.870639
2.3302438,48.8734796
2.328157,48.8712369
2.3282922,48.8695703
2.3287042,48.869378
2.3198024,48.8909381
2.3197916,48.8909313
2.3135418,48.8675015
2.3464805,48.862788
2.3466501,48.8627746
2.3504157,48.8622004
2.3067426,48.8612943
2.3065921,48.8613148
2.3063,48.8613604
2.3463026,48.8589876
2.3465411,48.8590133
2.3062252,48.8548311
2.3309418,48.8733747
2.3302677,48.8734781
2.3197851,48.8909286
