lng,lat
18.7050026,68.3127282
18.6946166,68.3123923
18.65436,68.3039287
18.6544417,68.3038976
18.6546054,68.3038864
18.6546386,68.30391
18.6510891,68.3008261
18.6478591,68.2980635
18.6397822,68.2963848
18.6379694,68.2962827
18.5819461,68.2745557
18.5819087,68.2745689
18.5829535,68.2623927
18.5430466,68.2090709
18.4557737,68.1747984
18.4556627,68.1746373
18.4228924,68.1550316
18.4149089,68.1412544
18.4113213,68.1355597
18.4112852,68.1355864
18.3110472,68.095019
18.241589,68.0516558
18.2471129,68.0195814
18.2530418,67.9978906
18.2817558,67.9458076
18.2817507,67.9458105
18.2817504,67.9458108
18.2817502,67.945811
18.281747,67.9458111
18.2817461,67.9458096
18.2817439,67.9458083
18.2817426,67.9458082
18.281742,67.9458076
18.2817444,67.945809
18.2817558,67.9458076
18.2817507,67.9458105
18.2817504,67.9458108
18.2817502,67.945811
18.281747,67.9458111
18.2817461,67.9458096
18.2817439,67.9458083
18.2817426,67.9458082
18.281742,67.9458076
18.2817444,67.945809
18.2817101,67.9458232
18.2817192,67.9458288
18.2817258,67.9458395
18.2817307,67.9458481
18.2817354,67.945853
18.2817399,67.9458556
18.2817439,67.9458583
18.2817516,67.9458639
18.281745,67.9458724
18.2817445,67.9458721
18.2817443,67.9458719
18.2817441,67.9458718
18.2817438,67.9458716
18.2817437,67.9458713
18.2817436,67.9458711
18.2817433,67.9458709
18.2817101,67.9458232
18.2817192,67.9458288
18.2817258,67.9458395
18.2817307,67.9458481
18.2817354,67.945853
18.2817399,67.9458556
18.2817439,67.9458583
18.2817516,67.9458639
18.281745,67.9458724
18.2817445,67.9458721
18.2817443,67.9458719
18.2817441,67.9458718
18.2817438,67.9458716
18.2817437,67.9458713
18.2817436,67.9458711
18.2817433,67.9458709
18.2815749,67.945818
18.2815749,67.945818
18.2816169,67.9458147
18.2816228,67.945814
18.2816318,67.9458141
18.2816376,67.945815
18.2816405,67.9458151
18.2816432,67.9458154
18.2816413,67.9458143
18.28164,67.9458138
18.2816364,67.9458136
18.2816332,67.945814
18.2816312,67.9458149
18.3435505,67.8638407
18.3436537,67.8638524
18.3436366,67.8638325
18.5658144,67.865309
18.5994007,67.8681804
18.6545826,68.3038775
18.6510848,68.3008422
18.6043981,68.2871271
18.5428363,68.2090348
18.4146612,68.136332
18.3390537,68.1059102
18.3389828,68.1059826
18.3389831,68.1059841
18.2471606,68.0195799
18.253019,67.9797505
18.2579132,67.9744357
18.2606479,67.9736447
18.2606566,67.9736405
18.2606573,67.97364
18.2745162,67.9583773
18.2817565,67.9458066
18.2817549,67.9458069
18.2817536,67.9458078
18.2817526,67.9458087
18.2817518,67.9458094
18.2817513,67.94581
18.2817479,67.9458104
18.281752,67.9458118
18.2817541,67.9458149
18.2817565,67.9458066
18.2817549,67.9458069
18.2817536,67.9458078
18.2817526,67.9458087
18.2817518,67.9458094
18.2817513,67.94581
18.2817479,67.9458104
18.281752,67.9458118
18.2817541,67.9458149
18.2817472,67.9458607
18.2817497,67.9458625
18.2817529,67.9458648
18.2817539,67.9458655
18.2817547,67.945866
18.2817552,67.9458664
18.2817556,67.9458667
18.2817559,67.9458668
18.281755,67.945865
18.2817542,67.9458634
18.2817534,67.9458619
18.2817527,67.9458607
18.2817521,67.9458598
18.2817518,67.9458591
18.2817515,67.9458586
18.2817514,67.9458582
18.2817472,67.9458715
18.2817469,67.9458724
18.2817467,67.9458731
18.2817465,67.9458736
18.2817464,67.9458738
18.2817463,67.9458738
18.2817461,67.9458737
18.2817458,67.9458735
18.2817455,67.9458733
18.2817454,67.9458731
18.2817453,67.945873
18.2817453,67.9458729
18.2817453,67.9458728
18.2817452,67.9458726
18.2817472,67.9458607
18.2817497,67.9458625
18.2817529,67.9458648
18.2817539,67.9458655
18.2817547,67.945866
18.2817552,67.9458664
18.2817556,67.9458667
18.2817559,67.9458668
18.281755,67.945865
18.2817542,67.9458634
18.2817534,67.9458619
18.2817527,67.9458607
18.2817521,67.9458598
18.2817518,67.9458591
18.2817515,67.9458586
18.2817514,67.9458582
18.2817472,67.9458715
18.2817469,67.9458724
18.2817467,67.9458731
18.2817465,67.9458736
18.2817464,67.9458738
18.2817463,67.9458738
18.2817461,67.9458737
18.2817458,67.9458735
18.2817455,67.9458733
18.2817454,67.9458731
18.2817453,67.945873
18.2817453,67.9458729
18.2817453,67.9458728
18.2817452,67.9458726
18.2815765,67.9458189
18.2815765,67.9458189
18.2816292,67.9458154
18.2816293,67.945816
18.2816295,67.9458164
18.2816306,67.9458169
18.2816313,67.945817
18.2816319,67.9458171
18.2816323,67.9458172
18.2816326,67.9458173
18.2816328,67.9458174
18.281633,67.9458174
18.2816331,67.9458175
18.2816332,67.9458175
18.2816332,67.9458175
18.2816333,67.9458176
18.2816333,67.9458176
18.2816337,67.9458174
18.2816342,67.945817
18.2816343,67.9458169
18.2816344,67.9458169
18.2816345,67.9458168
18.2816346,67.9458167
18.2816347,67.9458167
18.2816347,67.9458166
18.2816348,67.9458166
18.2816348,67.9458165
18.2816349,67.9458165
18.2816349,67.9458165
18.2816349,67.9458164
18.2816349,67.9458164
18.2816368,67.9458158
18.2816398,67.9458171
18.2816405,67.9458188
18.2816442,67.9458189
18.3436334,67.8638654
18.3436586,67.8638637
18.3436417,67.8638413
18.3436326,67.863825
18.3436325,67.8638199
18.3436389,67.8638173
18.6966175,67.8522618
18.6966039,67.8522577
18.6966134,67.8522634
18.6966143,67.8522636
18.6966143,67.8522636
18.6966358,67.8522595
