name,value,year,lastValue,rank,year2
Vattenkraft,7009,108,6453,1,201112
Kärnkraft,5539,108,3918,2,201112
Övrig värmekraft,1125,108,987,3,201112
Vindkraft,915,108,566,4,201112
Gasturbin & dieselkraft,6,108,7,5,201112
Ospecificerad produktion,1,108,1,6,201112
Vattenkraft,7362,109,7009,1,201201
Kärnkraft,5383,109,5539,2,201201
Övrig värmekraft,1300,109,1125,3,201201
Vindkraft,640,109,915,4,201201
Gasturbin & dieselkraft,9,109,6,5,201201
Ospecificerad produktion,1,109,1,6,201201
Solel,0,109,0,7,201201
Vattenkraft,7239,110,7362,1,201202
Kärnkraft,4839,110,5383,2,201202
Övrig värmekraft,1389,110,1300,3,201202
Vindkraft,684,110,640,4,201202
Gasturbin & dieselkraft,23,110,9,5,201202
Ospecificerad produktion,1,110,1,6,201202
Solel,0,110,0,7,201202
Vattenkraft,7061,111,7239,1,201203
Kärnkraft,5665,111,4839,2,201203
Övrig värmekraft,943,111,1389,3,201203
Vindkraft,784,111,684,4,201203
Gasturbin & dieselkraft,6,111,23,5,201203
Ospecificerad produktion,1,111,1,6,201203
Solel,0,111,0,7,201203
Vattenkraft,6629,112,7061,1,201204
Kärnkraft,5495,112,5665,2,201204
Övrig värmekraft,705,112,943,3,201204
Vindkraft,524,112,784,4,201204
Gasturbin & dieselkraft,5,112,6,5,201204
Ospecificerad produktion,1,112,1,6,201204
Solel,0,112,0,7,201204
Vattenkraft,6812,113,6629,1,201205
Kärnkraft,4409,113,5495,2,201205
Vindkraft,540,113,524,3,201205
Övrig värmekraft,401,113,705,4,201205
Gasturbin & dieselkraft,8,113,5,5,201205
Ospecificerad produktion,1,113,1,6,201205
Solel,0,113,0,7,201205
Vattenkraft,6232,114,6812,1,201206
Kärnkraft,4025,114,4409,2,201206
Vindkraft,430,114,540,3,201206
Övrig värmekraft,220,114,401,4,201206
Gasturbin & dieselkraft,7,114,8,5,201206
Ospecificerad produktion,1,114,1,6,201206
Solel,0,114,0,7,201206
Vattenkraft,5983,115,6232,1,201207
Kärnkraft,4537,115,4025,2,201207
Vindkraft,424,115,430,3,201207
Övrig värmekraft,135,115,220,4,201207
Gasturbin & dieselkraft,6,115,7,5,201207
Ospecificerad produktion,1,115,1,6,201207
Solel,0,115,0,7,201207
Vattenkraft,6175,116,5983,1,201208
Kärnkraft,4507,116,4537,2,201208
Vindkraft,357,116,424,3,201208
Övrig värmekraft,163,116,135,4,201208
Gasturbin & dieselkraft,3,116,6,5,201208
Ospecificerad produktion,1,116,1,6,201208
Solel,0,116,0,7,201208
Vattenkraft,5467,117,6175,1,201209
Kärnkraft,4766,117,4507,2,201209
Vindkraft,758,117,357,3,201209
Övrig värmekraft,332,117,163,4,201209
Gasturbin & dieselkraft,5,117,3,5,201209
Ospecificerad produktion,1,117,1,6,201209
Solel,0,117,0,7,201209
Vattenkraft,6813,118,5467,1,201210
Kärnkraft,5725,118,4766,2,201210
Vindkraft,666,118,758,3,201210
Övrig värmekraft,576,118,332,4,201210
Gasturbin & dieselkraft,8,118,5,5,201210
Ospecificerad produktion,1,118,1,6,201210
Solel,0,118,0,7,201210
Vattenkraft,6386,119,6813,1,201211
Kärnkraft,6126,119,5725,2,201211
Vindkraft,824,119,666,3,201211
Övrig värmekraft,719,119,576,4,201211
Gasturbin & dieselkraft,5,119,8,5,201211
Ospecificerad produktion,1,119,1,6,201211
Solel,0,119,0,7,201211
Vattenkraft,7365,120,6386,1,201212
Kärnkraft,6142,120,6126,2,201212
Övrig värmekraft,1299,120,719,3,201212
Vindkraft,677,120,824,4,201212
Gasturbin & dieselkraft,7,120,5,5,201212
Ospecificerad produktion,1,120,1,6,201212
Solel,0,120,0,7,201212
Vattenkraft,7466,121,7365,1,201301
Kärnkraft,6341,121,6142,2,201301
Övrig värmekraft,1296,121,1299,3,201301
Vindkraft,773,121,677,4,201301
Gasturbin & dieselkraft,13,121,7,5,201301
Ospecificerad produktion,1,121,1,6,201301
Solel,0,121,0,7,201301
Vattenkraft,6554,122,7466,1,201302
Kärnkraft,5864,122,6341,2,201302
Övrig värmekraft,1208,122,1296,3,201302
Vindkraft,567,122,773,4,201302
Gasturbin & dieselkraft,2,122,13,5,201302
Ospecificerad produktion,1,122,1,6,201302
Solel,0,122,0,7,201302
Kärnkraft,6434,123,5864,1,201303
Vattenkraft,6205,123,6554,2,201303
Övrig värmekraft,1281,123,1208,3,201303
Vindkraft,899,123,567,4,201303
Gasturbin & dieselkraft,2,123,2,5,201303
Ospecificerad produktion,1,123,1,6,201303
Solel,0,123,0,7,201303
Kärnkraft,6260,124,6434,1,201304
Vattenkraft,4655,124,6205,2,201304
Vindkraft,900,124,899,3,201304
Övrig värmekraft,795,124,1281,4,201304
Gasturbin & dieselkraft,5,124,2,5,201304
Ospecificerad produktion,1,124,1,6,201304
Solel,0,124,0,7,201304
Vattenkraft,5278,125,4655,1,201305
Kärnkraft,4086,125,6260,2,201305
Vindkraft,702,125,900,3,201305
Övrig värmekraft,347,125,795,4,201305
Gasturbin & dieselkraft,5,125,5,5,201305
Ospecificerad produktion,1,125,1,6,201305
Solel,1,125,0,7,201305
Kärnkraft,4697,126,4086,1,201306
Vattenkraft,3667,126,5278,2,201306
Vindkraft,547,126,702,3,201306
Övrig värmekraft,203,126,347,4,201306
Gasturbin & dieselkraft,4,126,5,5,201306
Ospecificerad produktion,1,126,1,6,201306
Solel,1,126,1,7,201306
Kärnkraft,5351,127,4697,1,201307
Vattenkraft,3645,127,3667,2,201307
Vindkraft,619,127,547,3,201307
Övrig värmekraft,171,127,203,4,201307
Gasturbin & dieselkraft,1,127,4,5,201307
Ospecificerad produktion,1,127,1,6,201307
Solel,1,127,1,7,201307
Kärnkraft,4344,128,5351,1,201308
Vattenkraft,4197,128,3645,2,201308
Vindkraft,544,128,619,3,201308
Övrig värmekraft,139,128,171,4,201308
Gasturbin & dieselkraft,2,128,1,5,201308
Ospecificerad produktion,1,128,1,6,201308
Solel,1,128,1,7,201308
Vattenkraft,4913,28567463,129,4197,1,201309
Kärnkraft,3878,8056631,129,4344,2,201309
Vindkraft,632,451782025,129,544,3,201309
Övrig värmekraft,370,719916391,129,139,4,201309
Gasturbin & dieselkraft,1,88270646,129,2,5,201309
Ospecificerad produktion,0,8767095,129,1,6,201309
Solel,0,518282629,129,1,7,201309
Vattenkraft,5053,25474685,130,4913,28567463,1,201310
Kärnkraft,4771,9972187,130,3878,8056631,2,201310
Vindkraft,1090,616909822,130,632,451782025,3,201310
Övrig värmekraft,547,314796971,130,370,719916391,4,201310
Gasturbin & dieselkraft,1,771040172,130,1,88270646,5,201310
Ospecificerad produktion,1,0444508,130,0,8767095,6,201310
Solel,0,25318306,130,0,518282629,7,201310
Kärnkraft,5779,187559,131,4771,9972187,1,201311
Vattenkraft,4825,406855702,131,5053,25474685,2,201311
Vindkraft,1122,872191365,131,1090,616909822,3,201311
Övrig värmekraft,834,31188973,131,547,314796971,4,201311
Gasturbin & dieselkraft,1,417205886,131,1,771040172,5,201311
Ospecificerad produktion,1,1786433,131,1,0444508,6,201311
Solel,0,076375457,131,0,25318306,7,201311
Kärnkraft,6034,957482,132,5779,187559,1,201312
Vattenkraft,5225,707368602,132,4825,406855702,2,201312
Vindkraft,1602,099719775,132,1122,872191365,3,201312
Övrig värmekraft,905,652093283,132,834,31188973,4,201312
Gasturbin & dieselkraft,1,806378366,132,1,417205886,5,201312
Ospecificerad produktion,0,9408575,132,1,1786433,6,201312
Solel,0,026318076,132,0,076375457,7,201312
Vattenkraft,6969,863487507,133,5225,707368602,1,201401
Kärnkraft,6386,7277925,133,6034,957482,2,201401
Vindkraft,1227,714712057,133,1602,099719775,3,201401
Övrig värmekraft,1056,960631913,133,905,652093283,4,201401
Gasturbin & dieselkraft,1,506686815,133,1,806378366,5,201401
Ospecificerad produktion,0,2919486,133,0,9408575,6,201401
Solel,0,016972494,133,0,026318076,7,201401
Vattenkraft,6453,134,6969,863487507,1,201402
Kärnkraft,5884,134,6386,7277925,2,201402
Övrig värmekraft,920,134,1056,960631913,3,201402
Vindkraft,882,134,1227,714712057,4,201402
Gasturbin & dieselkraft,1,134,1,506686815,5,201402
Ospecificerad produktion,0,134,0,2919486,6,201402
Solel,0,134,0,016972494,7,201402
Vattenkraft,6960,135,6453,1,201403
Kärnkraft,6256,135,5884,2,201403
Vindkraft,1212,135,882,3,201403
Övrig värmekraft,751,135,920,4,201403
Gasturbin & dieselkraft,4,135,1,5,201403
Solel,1,135,0,6,201403
Ospecificerad produktion,0,135,0,7,201403
Vattenkraft,6072,633439648,136,6960,1,201404
Kärnkraft,4889,8000611,136,6256,2,201404
Vindkraft,911,222523548,136,1212,3,201404
Övrig värmekraft,547,751459287,136,751,4,201404
Gasturbin & dieselkraft,4,618946631,136,4,5,201404
Solel,1,38779899,136,1,6,201404
Ospecificerad produktion,0,80424,136,0,7,201404
Vattenkraft,5776,534488495,137,6072,633439648,1,201405
Kärnkraft,3493,0129551,137,4889,8000611,2,201405
Vindkraft,688,600050897,137,911,222523548,3,201405
Övrig värmekraft,414,401330812,137,547,751459287,4,201405
Gasturbin & dieselkraft,3,844981915,137,4,618946631,5,201405
Solel,1,689225329,137,1,38779899,6,201405
Ospecificerad produktion,0,6824608,137,0,80424,7,201405
Vattenkraft,5427,138,5776,534488495,1,201406
Kärnkraft,3401,138,3493,0129551,2,201406
Vindkraft,615,138,688,600050897,3,201406
Övrig värmekraft,241,138,414,401330812,4,201406
Gasturbin & dieselkraft,4,138,3,844981915,5,201406
Solel,2,138,1,689225329,6,201406
Ospecificerad produktion,1,138,0,6824608,7,201406
Kärnkraft,5614,5609763,139,3401,1,201407
Vattenkraft,3562,059056057,139,5427,2,201407
Vindkraft,530,587475953,139,615,3,201407
Övrig värmekraft,169,844602039,139,241,4,201407
Solel,2,431771334,139,2,5,201407
Gasturbin & dieselkraft,1,010954808,139,4,6,201407
Ospecificerad produktion,0,358315277,139,1,7,201407
Kärnkraft,4440,7740953,140,5614,5609763,1,201408
Vattenkraft,3757,632289489,140,3562,059056057,2,201408
Vindkraft,735,729480687,140,530,587475953,3,201408
Övrig värmekraft,163,972094829,140,169,844602039,4,201408
Solel,1,659854192,140,2,431771334,5,201408
Gasturbin & dieselkraft,0,630927251,140,1,010954808,6,201408
Ospecificerad produktion,0,3626359,140,0,358315277,7,201408
Kärnkraft,4392,3078899,141,4440,7740953,1,201409
Vattenkraft,4207,198219586,141,3757,632289489,2,201409
Vindkraft,789,177455778,141,735,729480687,3,201409
Övrig värmekraft,264,147970571,141,163,972094829,4,201409
Gasturbin & dieselkraft,1,708085771,141,0,630927251,5,201409
Solel,1,574476885,141,1,659854192,6,201409
Ospecificerad produktion,0,15447,141,0,3626359,7,201409
Kärnkraft,5779,13914,142,4392,3078899,1,201410
Vattenkraft,4319,401884276,142,4207,198219586,2,201410
Vindkraft,1323,824238007,142,789,177455778,3,201410
Övrig värmekraft,502,410139333,142,264,147970571,4,201410
Gasturbin & dieselkraft,3,580247229,142,1,708085771,5,201410
Solel,0,455357856,142,1,574476885,6,201410
Ospecificerad produktion,0,1653121,142,0,15447,7,201410
Kärnkraft,5707,549663,143,5779,13914,1,201411
Vattenkraft,5452,126370123,143,4319,401884276,2,201411
Vindkraft,1029,925213795,143,1323,824238007,3,201411
Övrig värmekraft,699,911788969,143,502,410139333,4,201411
Gasturbin & dieselkraft,5,018566148,143,3,580247229,5,201411
Ospecificerad produktion,0,1311356,143,0,1653121,6,201411
Solel,0,082929559,143,0,455357856,7,201411
Kärnkraft,5874,474588,144,5707,549663,1,201412
Vattenkraft,5762,181916835,144,5452,126370123,2,201412
Vindkraft,1624,56493544,144,1029,925213795,3,201412
Övrig värmekraft,978,390660718,144,699,911788969,4,201412
Gasturbin & dieselkraft,4,413472277,144,5,018566148,5,201412
Ospecificerad produktion,0,117514,144,0,1311356,6,201412
Solel,0,062445992,144,0,082929559,7,201412
Vattenkraft,6146,629306388,145,5762,181916835,1,201501
Kärnkraft,5520,2833828,145,5874,474588,2,201501
Vindkraft,1640,954259516,145,1624,56493544,3,201501
Övrig värmekraft,1159,989317294,145,978,390660718,4,201501
Gasturbin & dieselkraft,3,905666902,145,4,413472277,5,201501
Ospecificerad produktion,0,1137157,145,0,117514,6,201501
Solel,0,085305103,145,0,062445992,7,201501
Vattenkraft,6288,845828948,146,6146,629306388,1,201502
Kärnkraft,4966,321837,146,5520,2833828,2,201502
Vindkraft,1607,142809638,146,1640,954259516,3,201502
Övrig värmekraft,1035,809059642,146,1159,989317294,4,201502
Gasturbin & dieselkraft,2,952634076,146,3,905666902,5,201502
Solel,0,327771458,146,0,085305103,6,201502
Ospecificerad produktion,0,1361184,146,0,1137157,7,201502
Vattenkraft,6718,731780598,147,6288,845828948,1,201503
Kärnkraft,5168,669779,147,4966,321837,2,201503
Vindkraft,1511,49557894,147,1607,142809638,3,201503
Övrig värmekraft,787,568308309,147,1035,809059642,4,201503
Gasturbin & dieselkraft,5,864354591,147,2,952634076,5,201503
Solel,1,592349695,147,0,327771458,6,201503
Ospecificerad produktion,0,1531816,147,0,1361184,7,201503
Vattenkraft,5704,137590784,148,6718,731780598,1,201504
Kärnkraft,5044,25253,148,5168,669779,2,201504
Vindkraft,1417,8974034,148,1511,49557894,3,201504
Övrig värmekraft,597,340142214,148,787,568308309,4,201504
Gasturbin & dieselkraft,4,841025111,148,5,864354591,5,201504
Solel,3,322592134,148,1,592349695,6,201504
Ospecificerad produktion,0,1304264,148,0,1531816,7,201504
Vattenkraft,6548,343952116,149,5704,137590784,1,201505
Kärnkraft,3564,9230059,149,5044,25253,2,201505
Vindkraft,1282,739903896,149,1417,8974034,3,201505
Övrig värmekraft,467,23094777,149,597,340142214,4,201505
Gasturbin & dieselkraft,4,204530284,149,4,841025111,5,201505
Solel,3,592094951,149,3,322592134,6,201505
Ospecificerad produktion,0,1335633,149,0,1304264,7,201505
Vattenkraft,6609,84403037,150,6548,343952116,1,201506
Kärnkraft,3254,67417886,150,3564,9230059,2,201506
Vindkraft,1091,595976536,150,1282,739903896,3,201506
Övrig värmekraft,237,907117591,150,467,23094777,4,201506
Gasturbin & dieselkraft,5,112219006,150,4,204530284,5,201506
Solel,4,595079627,150,3,592094951,6,201506
Ospecificerad produktion,0,1247719,150,0,1335633,7,201506
Vattenkraft,6147,51865241,151,6609,84403037,1,201507
Kärnkraft,4364,99247684,151,3254,67417886,2,201507
Vindkraft,935,353187778,151,1091,595976536,3,201507
Övrig värmekraft,187,480437549,151,237,907117591,4,201507
Solel,4,618706635,151,4,595079627,5,201507
Gasturbin & dieselkraft,0,955198303,151,5,112219006,6,201507
Ospecificerad produktion,0,1548938,151,0,1247719,7,201507
Vattenkraft,6690,710089254,152,6147,51865241,1,201508
Kärnkraft,3911,0652665,152,4364,99247684,2,201508
Vindkraft,912,701316541,152,935,353187778,3,201508
Övrig värmekraft,170,284807425,152,187,480437549,4,201508
Solel,5,398757662,152,4,618706635,5,201508
Gasturbin & dieselkraft,2,314933744,152,0,955198303,6,201508
Ospecificerad produktion,0,1248691,152,0,1548938,7,201508
Vattenkraft,5405,878510381,153,6690,710089254,1,201509
Kärnkraft,4063,72295472,153,3911,0652665,2,201509
Vindkraft,1168,297767342,153,912,701316541,3,201509
Övrig värmekraft,231,254591774,153,170,284807425,4,201509
Gasturbin & dieselkraft,6,497810268,153,2,314933744,5,201509
Solel,3,119538176,153,5,398757662,6,201509
Ospecificerad produktion,0,0975003,153,0,1248691,7,201509
Vattenkraft,6867,858239993,154,5405,878510381,1,201510
Kärnkraft,5058,866175037,154,4063,72295472,2,201510
Vindkraft,1268,318700942,154,1168,297767342,3,201510
Övrig värmekraft,490,542648511,154,231,254591774,4,201510
Gasturbin & dieselkraft,6,922714797,154,6,497810268,5,201510
Solel,1,73000581,154,3,119538176,6,201510
Ospecificerad produktion,0,2872436,154,0,0975003,7,201510
Vattenkraft,6301,952295348,155,6867,858239993,1,201511
Kärnkraft,4491,097849526,155,5058,866175037,2,201511
Vindkraft,1595,114724198,155,1268,318700942,3,201511
Övrig värmekraft,730,351221356,155,490,542648511,4,201511
Gasturbin & dieselkraft,5,494151784,155,6,922714797,5,201511
Solel,0,388886231,155,1,73000581,6,201511
Ospecificerad produktion,0,2321775,155,0,2872436,7,201511
Vattenkraft,5767,541066807,156,6301,952295348,1,201512
Kärnkraft,5087,207185985,156,4491,097849526,2,201512
Vindkraft,2371,395212763,156,1595,114724198,3,201512
Övrig värmekraft,860,998509706,156,730,351221356,4,201512
Gasturbin & dieselkraft,5,965948681,156,5,494151784,5,201512
Ospecificerad produktion,0,186541,156,0,2321775,6,201512
Solel,0,180555376,156,0,388886231,7,201512
Vattenkraft,7292,874761435,157,5767,541066807,1,201601
Kärnkraft,6048,104670948,157,5087,207185985,2,201601
Vindkraft,1458,670314269,157,2371,395212763,3,201601
Övrig värmekraft,1207,087120388,157,860,998509706,4,201601
Gasturbin & dieselkraft,4,454474125,157,5,965948681,5,201601
Ospecificerad produktion,0,1903655,157,0,186541,6,201601
Solel,0,160391499,157,0,180555376,7,201601
Vattenkraft,6774,483116753,158,7292,874761435,1,201602
Kärnkraft,5526,865407884,158,6048,104670948,2,201602
Vindkraft,1436,978526359,158,1458,670314269,3,201602
Övrig värmekraft,986,014110617,158,1207,087120388,4,201602
Gasturbin & dieselkraft,4,803206155,158,4,454474125,5,201602
Solel,1,167927943,158,0,160391499,6,201602
Ospecificerad produktion,0,2124229,158,0,1903655,7,201602
Vattenkraft,6450,191870368,159,6774,483116753,1,201603
Kärnkraft,6032,089579822,159,5526,865407884,2,201603
Vindkraft,1040,394002689,159,1436,978526359,3,201603
Övrig värmekraft,848,758735849,159,986,014110617,4,201603
Solel,2,612480276,159,1,167927943,5,201603
Gasturbin & dieselkraft,1,039096207,159,4,803206155,6,201603
Ospecificerad produktion,0,2188536,159,0,2124229,7,201603
Vattenkraft,5609,175038053,160,6450,191870368,1,201604
Kärnkraft,5503,24598,160,6032,089579822,2,201604
Vindkraft,1099,852027516,160,1040,394002689,3,201604
Övrig värmekraft,578,713859703,160,848,758735849,4,201604
Solel,4,65273511,160,2,612480276,5,201604
Gasturbin & dieselkraft,1,195122449,160,1,039096207,6,201604
Ospecificerad produktion,0,1677752,160,0,2188536,7,201604
Vattenkraft,5645,099151739,161,5609,175038053,1,201605
Kärnkraft,4252,914349857,161,5503,24598,2,201605
Vindkraft,900,046971088,161,1099,852027516,3,201605
Övrig värmekraft,362,527648786,161,578,713859703,4,201605
Solel,7,888258441,161,4,65273511,5,201605
Gasturbin & dieselkraft,1,248797853,161,1,195122449,6,201605
Ospecificerad produktion,0,1571411,161,0,1677752,7,201605
Vattenkraft,4707,923153628,162,5645,099151739,1,201606
Kärnkraft,2872,695889209,162,4252,914349857,2,201606
Vindkraft,949,957454652,162,900,046971088,3,201606
Övrig värmekraft,244,632809493,162,362,527648786,4,201606
Solel,8,43062913,162,7,888258441,5,201606
Gasturbin & dieselkraft,0,985149846,162,1,248797853,6,201606
Ospecificerad produktion,0,2109926,162,0,1571411,7,201606
Kärnkraft,4488,898989944,163,2872,695889209,1,201607
Vattenkraft,3788,978770234,163,4707,923153628,2,201607
Vindkraft,850,128180923,163,949,957454652,3,201607
Övrig värmekraft,202,597844082,163,244,632809493,4,201607
Solel,9,336511378,163,8,43062913,5,201607
Gasturbin & dieselkraft,0,775747662,163,0,985149846,6,201607
Ospecificerad produktion,0,0774899,163,0,2109926,7,201607
Kärnkraft,4561,742536604,164,4488,898989944,1,201608
Vattenkraft,3933,829475394,164,3788,978770234,2,201608
Vindkraft,1207,479555126,164,850,128180923,3,201608
Övrig värmekraft,185,530383643,164,202,597844082,4,201608
Solel,7,317247283,164,9,336511378,5,201608
Gasturbin & dieselkraft,0,836281195,164,0,775747662,6,201608
Ospecificerad produktion,0,09015478,164,0,0774899,7,201608
Kärnkraft,4806,702571487,165,4561,742536604,1,201609
Vattenkraft,4389,887743554,165,3933,829475394,2,201609
Vindkraft,1029,254258295,165,1207,479555126,3,201609
Övrig värmekraft,232,15436244,165,185,530383643,4,201609
Solel,6,079409647,165,7,317247283,5,201609
Gasturbin & dieselkraft,1,141686868,165,0,836281195,6,201609
Ospecificerad produktion,0,117421353,165,0,09015478,7,201609
Kärnkraft,4981,789343867,166,4806,702571487,1,201610
Vattenkraft,4585,172221855,166,4389,887743554,2,201610
Vindkraft,1462,089496529,166,1029,254258295,3,201610
Övrig värmekraft,633,832789507,166,232,15436244,4,201610
Solel,2,354424063,166,6,079409647,5,201610
Gasturbin & dieselkraft,1,267810547,166,1,141686868,6,201610
Ospecificerad produktion,0,100576484,166,0,117421353,7,201610
Kärnkraft,5333,111142188,167,4981,789343867,1,201611
Vattenkraft,4508,718941824,167,4585,172221855,2,201611
Vindkraft,1802,982553254,167,1462,089496529,3,201611
Övrig värmekraft,1016,610627309,167,633,832789507,4,201611
Gasturbin & dieselkraft,1,301814187,167,1,267810547,5,201611
Solel,0,647761438,167,2,354424063,6,201611
Ospecificerad produktion,0,1864491,167,0,100576484,7,201611
Kärnkraft,6267,997138502,168,5333,111142188,1,201612
Vattenkraft,4405,884273871,168,4508,718941824,2,201612
Vindkraft,2363,276861109,168,1802,982553254,3,201612
Övrig värmekraft,1099,979242137,168,1016,610627309,4,201612
Gasturbin & dieselkraft,2,014752062,168,1,301814187,5,201612
Solel,0,332172733,168,0,647761438,6,201612
Ospecificerad produktion,0,16300401,168,0,1864491,7,201612
Kärnkraft,6699,635051073,169,6267,997138502,1,201701
Vattenkraft,5886,595099359,169,4405,884273871,2,201701
Vindkraft,1982,801875749,169,2363,276861109,3,201701
Övrig värmekraft,1095,47430975,169,1099,979242137,4,201701
Gasturbin & dieselkraft,1,495743534,169,2,014752062,5,201701
Solel,0,469792452,169,0,332172733,6,201701
Ospecificerad produktion,0,1717058,169,0,16300401,7,201701
Kärnkraft,6123,619856153,170,6699,635051073,1,201702
Vattenkraft,5526,861019567,170,5886,595099359,2,201702
Vindkraft,1370,286288512,170,1982,801875749,3,201702
Övrig värmekraft,1031,722179654,170,1095,47430975,4,201702
Gasturbin & dieselkraft,1,515900399,170,1,495743534,5,201702
Solel,1,352599875,170,0,469792452,6,201702
Ospecificerad produktion,0,70890813,170,0,1717058,7,201702
Kärnkraft,6562,615687723,171,6123,619856153,1,201703
Vattenkraft,5503,813614804,171,5526,861019567,2,201703
Vindkraft,1716,596147109,171,1370,286288512,3,201703
Övrig värmekraft,988,304906573,171,1031,722179654,4,201703
Solel,4,684140197,171,1,352599875,5,201703
Gasturbin & dieselkraft,1,181993729,171,1,515900399,6,201703
Ospecificerad produktion,0,24045223,171,0,70890813,7,201703
Kärnkraft,6156,442858778,172,6562,615687723,1,201704
Vattenkraft,4801,893890377,172,5503,813614804,2,201704
Vindkraft,1453,173406794,172,1716,596147109,3,201704
Övrig värmekraft,775,229433872,172,988,304906573,4,201704
Solel,8,50175758,172,4,684140197,5,201704
Gasturbin & dieselkraft,1,117639488,172,1,181993729,6,201704
Ospecificerad produktion,0,17100439,172,0,24045223,7,201704
Kärnkraft,5680,469143385,173,6156,442858778,1,201705
Vattenkraft,4670,796956795,173,4801,893890377,2,201705
Vindkraft,1090,140117182,173,1453,173406794,3,201705
Övrig värmekraft,475,047803998,173,775,229433872,4,201705
Ospecificerad produktion,21,212161852,173,0,17100439,5,201705
Solel,13,443430393,173,8,50175758,6,201705
Gasturbin & dieselkraft,0,173,1,117639488,7,201705
Kärnkraft,4459,048524076,174,5680,469143385,1,201706
Vattenkraft,4160,069782472,174,4670,796956795,2,201706
Vindkraft,1314,862974343,174,1090,140117182,3,201706
Övrig värmekraft,311,674227145,174,475,047803998,4,201706
Solel,13,304570428,174,13,443430393,5,201706
Ospecificerad produktion,6,867632216,174,21,212161852,6,201706
Gasturbin & dieselkraft,0,174,0,7,201706
Vattenkraft,5190,198117296,175,4160,069782472,1,201707
Kärnkraft,4295,18687923,175,4459,048524076,2,201707
Vindkraft,1022,332753984,175,1314,862974343,3,201707
Övrig värmekraft,242,890021723,175,311,674227145,4,201707
Solel,14,618174259,175,13,304570428,5,201707
Ospecificerad produktion,3,043258905,175,6,867632216,6,201707
Gasturbin & dieselkraft,0,175,0,7,201707
Vattenkraft,5422,07330796,176,5190,198117296,1,201708
Kärnkraft,3651,70385071,176,4295,18687923,2,201708
Vindkraft,608,962103079,176,1022,332753984,3,201708
Övrig värmekraft,256,897550535,176,242,890021723,4,201708
Solel,11,750623426,176,14,618174259,5,201708
Ospecificerad produktion,6,404319248,176,3,043258905,6,201708
Gasturbin & dieselkraft,0,176,0,7,201708
Vattenkraft,5913,79157271,177,5422,07330796,1,201709
Kärnkraft,3129,86071981,177,3651,70385071,2,201709
Vindkraft,1011,354610417,177,608,962103079,3,201709
Övrig värmekraft,341,371634274,177,256,897550535,4,201709
Ospecificerad produktion,17,331450847,177,6,404319248,5,201709
Solel,5,892162543,177,11,750623426,6,201709
Gasturbin & dieselkraft,0,177,0,7,201709
Vattenkraft,5594,839215501,178,5913,79157271,1,201710
Kärnkraft,4182,728420374,178,3129,86071981,2,201710
Vindkraft,1931,2550506,178,1011,354610417,3,201710
Övrig värmekraft,607,292476828,178,341,371634274,4,201710
Ospecificerad produktion,24,134010248,178,17,331450847,5,201710
Solel,3,58000685,178,5,892162543,6,201710
Gasturbin & dieselkraft,0,178,0,7,201710
Vattenkraft,6011,673999262,179,5594,839215501,1,201711
Kärnkraft,5756,1887,179,4182,728420374,2,201711
Vindkraft,1644,76941799,179,1931,2550506,3,201711
Övrig värmekraft,816,833162519,179,607,292476828,4,201711
Ospecificerad produktion,26,125616872,179,24,134010248,5,201711
Solel,1,260605525,179,3,58000685,6,201711
Gasturbin & dieselkraft,0,179,0,7,201711
Kärnkraft,6389,17674694,180,5756,1887,1,201712
Vattenkraft,6135,325170449,180,6011,673999262,2,201712
Vindkraft,1837,142805911,180,1644,76941799,3,201712
Övrig värmekraft,924,437194276,180,816,833162519,4,201712
Ospecificerad produktion,37,471473616,180,26,125616872,5,201712
Solel,0,289042892,180,1,260605525,6,201712
Gasturbin & dieselkraft,0,180,0,7,201712
Vattenkraft,6874,334874058,181,6135,325170449,1,201801
Kärnkraft,6215,02226317,181,6389,17674694,2,201801
Vindkraft,1514,411851153,181,1837,142805911,3,201801
Övrig värmekraft,1007,560752981,181,924,437194276,4,201801
Ospecificerad produktion,42,780640133,181,37,471473616,5,201801
Solel,0,442669785,181,0,289042892,6,201801
Gasturbin & dieselkraft,0,181,0,7,201801
Vattenkraft,6759,976424103,182,6874,334874058,1,201802
Kärnkraft,5792,05929,182,6215,02226317,2,201802
Vindkraft,1127,580567763,182,1514,411851153,3,201802
Övrig värmekraft,995,022655887,182,1007,560752981,4,201802
Ospecificerad produktion,41,723868128,182,42,780640133,5,201802
Solel,1,310333758,182,0,442669785,6,201802
Gasturbin & dieselkraft,0,182,0,7,201802
Vattenkraft,6666,876455154,183,6759,976424103,1,201803
Kärnkraft,6376,14451,183,5792,05929,2,201803
Vindkraft,1159,996791268,183,1127,580567763,3,201803
Övrig värmekraft,978,774534173,183,995,022655887,4,201803
Ospecificerad produktion,30,218194415,183,41,723868128,5,201803
Solel,5,826315389,183,1,310333758,6,201803
Gasturbin & dieselkraft,0,183,0,7,201803
Kärnkraft,5567,60706473,184,6376,14451,1,201804
Vattenkraft,4999,86743675,184,6666,876455154,2,201804
Vindkraft,1288,826459933,184,1159,996791268,3,201804
Övrig värmekraft,603,490975377,184,978,774534173,4,201804
Ospecificerad produktion,20,587797672,184,30,218194415,5,201804
Solel,14,231017506,184,5,826315389,6,201804
Gasturbin & dieselkraft,0,184,0,7,201804
Vattenkraft,6138,565987853,185,4999,86743675,1,201805
